x,y,Class
continuous,continuous,C1 C2 C3 C4 C5
,,class
1.668.134.415.730.090,90.959.100.518.586,C1
15.573.785.386.110.600,8.465.540.508.541.430,C1
7.452.722.274.564.110,8.322.586.394.365.390,C1
15.722.920.977.698.300,8.273.202.509.127.300,C1
9.321.902.121.630.380,8.213.359.086.795.930,C1
1.148.728.790.072.160,7.834.893.847.188.610,C1
9.714.079.706.912.080,8.182.166.238.491.450,C1
17.806.397.459.290.200,7.734.063.253.183.950,C1
1.367.664.803.751.880,8.468.561.953.150.210,C1
14.973.028.675.501.500,8.302.014.611.289.290,C1
20.312.515.538.345.600,9.030.085.961.742.460,C1
21.879.521.427.754.300,8.888.754.111.926.910,C1
16.976.031.498.437.600,8.924.491.533.321.060,C1
11.013.359.920.034.000,9.496.142.221.449.660,C1
17.751.373.807.276.800,9.243.174.588.680.580,C1
9.128.379.089.153.340,9.123.263.250.500.340,C1
9.845.566.459.116.070,7.854.142.885.869.120,C1
10.985.413.429.992.300,7.196.577.441.913.610,C1
1.246.517.183.937.050,8.328.672.555.070.010,C1
16.031.096.865.408.200,7.279.311.518.648.520,C1
22.369.073.880.486.200,8.032.419.537.413.010,C1
20.260.386.982.642.100,8.619.797.053.435.880,C1
19.760.246.166.264.200,8.798.537.700.013.590,C1
15.018.714.938.951.900,9.892.231.561.680.600,C1
11.081.821.912.025.800,9.694.149.885.803.190,C1
28.676.972.379.987.800,9.347.661.758.077.720,C1
29.801.107.304.951.900,7.247.733.299.716.080,C1
14.887.168.167.043.200,7.142.612.219.489.200,C1
20.027.832.020.125.500,7.965.998.733.460.550,C1
19.940.278.602.233.400,824.045.898.587.693,C1
16.532.176.047.944.500,9.385.001.240.219.610,C1
14.580.847.216.984.500,9.239.007.739.738.370,C1
8.874.525.186.221.560,9.666.002.595.312.760,C1
7.119.474.453.120.770,780.947.592.884.796,C1
10.980.529.487.276.100,7.394.370.309.669.710,C1
975.006.321.265.693,7.352.249.602.963.960,C1
2.439.258.087.498.390,8.730.103.896.922.660,C1
22.001.987.134.668.200,8.814.000.323.177.080,C1
2.552.194.579.133.270,8.523.597.519.619.650,C1
238.556.970.107.144,8.526.967.619.064.520,C1
13.624.419.870.866.400,7.493.499.106.903.690,C1
14.537.357.971.376.900,6.927.773.250.952.000,C1
1.764.867.029.169.090,6.702.791.752.918.460,C1
18.152.020.148.058.100,6.581.228.285.272.020,C1
17.873.910.763.597.800,8.302.062.989.879.420,C1
2.090.435.286.900.290,8.508.214.275.291.610,C1
21.948.148.212.744.000,9.156.647.566.325.420,C1
1.540.751.310.400.920,9.151.210.456.549.660,C1
13.227.189.943.264.400,7.576.921.647.764.410,C1
139.753.129.897.992,7.048.984.625.797.570,C1
13.436.617.335.626.900,736.191.570.437.135,C1
19.599.329.053.250.000,7.883.930.602.102.270,C1
22.636.750.355.610.500,7.499.915.557.036.520,C1
20.176.662.511.390.200,8.446.686.182.102.810,C1
1.164.175.834.583.380,7.369.600.779.938.810,C1
12.615.288.475.764.500,7.418.997.309.426.010,C1
15.863.701.905.094.900,7.646.334.501.620.010,C1
21.364.585.538.353.700,7.900.454.661.356.790,C1
19.238.796.115.269.600,7.589.046.041.849.420,C1
12.327.735.432.902.000,882.252.174.582.641,C1
13.146.471.615.917.800,8.391.446.072.482.490,C1
1.475.154.148.709.810,8.274.277.145.178.240,C1
1.655.689.249.182.800,7.794.580.866.492.660,C1
10.566.378.687.439.400,8.576.714.666.109.770,C1
23.297.417.247.799.700,7.734.015.538.725.760,C1
1.604.496.313.893.330,8.307.659.080.580.280,C1
23.429.176.433.334.400,8.037.064.828.946.360,C1
2.223.584.912.140.940,8.431.212.152.503.350,C1
6.313.914.748.574.630,9.422.273.051.762.570,C2
6.777.945.512.150.080,8.619.162.084.923.620,C2
655.531.079.854.123,8.092.535.433.519.410,C2
6.063.037.437.528.370,684.217.529.524.896,C2
6.460.699.698.336.450,6.817.615.195.661.650,C2
6.826.032.520.700.370,7.754.528.212.581.890,C2
7.538.246.291.695.410,6.515.888.337.843.570,C2
7.697.749.929.330.950,6.913.988.690.697.960,C2
8.561.562.407.861.990,6.980.426.134.776.160,C2
8.491.559.815.637.280,8.140.137.273.772.350,C2
8.499.852.904.572.070,8.480.319.039.651.240,C2
7.012.007.465.557.520,912.241.286.819.672,C2
8.466.141.349.110.010,9.509.229.280.661.500,C2
6.835.173.558.438.410,8.950.925.686.089.810,C2
7.170.107.714.263.080,8.470.374.506.580.420,C2
706.829.777.973.469,7.905.929.452.513.890,C2
6.735.470.326.982.880,7.418.313.000.801.310,C2
